Cycle: 15  AE.A244  1.562_X	Cycle: 15  AE.A244  1.562_Y	Cycle: 16  AE.A244  3.125_X	Cycle: 16  AE.A244  3.125_Y	Cycle: 17  AE.A244  6.25 _X	Cycle: 17  AE.A244  6.25 _Y	Cycle: 18  AE.A244  12.5 _X	Cycle: 18  AE.A244  12.5 _Y	Cycle: 19  AE.A244  25 µg_X	Cycle: 19  AE.A244  25 µg_Y	Cycle: 20  AE.A244  50 µg_X	Cycle: 20  AE.A244  50 µg_Y	Cycle: 21  AE.A244  100 µ_X	Cycle: 21  AE.A244  100 µ_Y	Cycle: 22  AE.A244  200 µ_X	Cycle: 22  AE.A244  200 µ_Y
-56.96	-0.0359802	-56.86	-0.142606	-56.86	-0.0877686	-56.86	-0.0383577	-56.96	-0.0506592	-56.96	-0.157046	-56.86	-0.254028	-56.86	-0.150815
-56.86	-0.0594177	-56.76	-0.145355	-56.76	-0.0939941	-56.76	-0.0563049	-56.86	-0.0690308	-56.86	-0.165649	-56.76	-0.252441	-56.76	-0.16095
-56.76	-0.0726626	-56.66	-0.157074	-56.66	-0.0952148	-56.66	-0.0696106	-56.76	-0.0822754	-56.76	-0.164063	-56.66	-0.24231	-56.66	-0.152771
-56.66	-0.0738831	-56.56	-0.157074	-56.56	-0.110413	-56.56	-0.0680236	-56.66	-0.0737305	-56.66	-0.165649	-56.56	-0.242676	-56.56	-0.138672
-56.56	-0.0726624	-56.46	-0.150055	-56.46	-0.110046	-56.46	-0.0743103	-56.56	-0.069397	-56.56	-0.161316	-56.46	-0.227844	-56.46	-0.111755
-56.46	-0.0719299	-56.36	-0.161774	-56.36	-0.117065	-56.36	-0.0797431	-56.46	-0.0623779	-56.46	-0.144164	-56.36	-0.216125	-56.36	-0.107056
-56.36	-0.0722961	-56.26	-0.16214	-56.26	-0.105713	-56.26	-0.0875549	-56.36	-0.057312	-56.36	-0.134766	-56.26	-0.211426	-56.26	-0.102356
-56.26	-0.0871276	-56.16	-0.176605	-56.16	-0.119415	-56.16	-0.0989075	-56.26	-0.0674438	-56.26	-0.123047	-56.16	-0.201294	-56.16	-0.106689
-56.16	-0.0934143	-56.06	-0.166841	-56.06	-0.117433	-56.06	-0.0844436	-56.16	-0.0834961	-56.16	-0.109802	-56.06	-0.191896	-56.06	-0.107423
-56.06	-0.0941467	-55.96	-0.161774	-55.96	-0.110046	-55.96	-0.0860291	-56.06	-0.0842285	-56.06	-0.0957031	-55.96	-0.171997	-55.96	-0.10199
