"Ligand","Analyte","Chip","Channel","Fitting#","Rmax 1","Rmax 1 StdErr","Rmax 2","Rmax 2 StdErr","Rmax 3","Rmax 3 StdErr","Rmax 4","Rmax 4 StdErr","Rmax 5","Rmax 5 StdErr","Rmax Global","Rmax Global StdErr","ka","ka StdErr","kd","kd StdErr","KD","KD StdErr"
"CH31","AE.A244","1","2",1,93.3741963453534,0.8157909052212504,132.65511677499825,0.6999566229138189,141.6074318821188,0.6397858026267548,131.91376008877617,0.5235250523128515,132.03901104876505,0.41968815701966083,"NA","NA",1812.098520356821,8.731469514038325,0.00011911969721158095,8.040946269856353e-7,6.573577312348616e-8,5.451866868772912e-10
"CH31","AE.A244","1","2",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",128.95717856227998,0.43832497393859626,1883.0292899174317,8.916369912331943,0.00011886410669901185,1.2567428683077623e-6,6.312387562714114e-8,7.312796439743531e-10
