"Ligand","Analyte","Plate","Sensor","Fitting#","Rmax 1","Rmax 1 StdErr","Rmax 2","Rmax 2 StdErr","Rmax 3","Rmax 3 StdErr","Rmax 4","Rmax 4 StdErr","Rmax 5","Rmax 5 StdErr","Rmax Global","Rmax Global StdErr","ka","ka StdErr","kd","kd StdErr","KD","KD StdErr"
"AE_A244_gp120","Cat_CH31 (3412)","1","A2, B2, C2, D2, F2",1,0.31884105383922234,0.006651361171732998,0.21398562920949274,0.0037035297225776805,0.1986693202221791,0.0030613970702906045,0.1745489438760379,0.002209433125389298,0.16944918414934207,0.0016672696915822054,"NA","NA",4990.240930316442,82.92383421935564,0.0005154370447381543,0.000011461224783839206,1.0328900987661716e-7,2.867210958203131e-9
"AE_A244_gp120","Cat_CH31 (3412)","1","A2, B2, C2, D2, F2",2,0.2641589545604505,0.004261006897627215,0.17520634732853327,0.0023003732196745655,0.1690626433529138,0.0019281576749628365,0.1520793183652819,0.0013615763404273816,0.15521354455416264,0.0010142922244591264,"NA","NA",5682.375632275209,75.02887039681012,0.000293994894543961,4.587630322924112e-6,5.173802535582221e-8,1.0575826919960093e-9
